;name;property;chosen;;
1;alpha-CH chemical shifts (Andersen et al., 1992);;;;
2;Hydrophobicity index (Argos et al., 1982);hydrophobicity;1;;
3;Signal sequence helical potential (Argos et al., 1982);helix;;;
4;Membrane-buried preference parameters (Argos et al., 1982);;;;
5;Conformational parameter of inner helix (Beghin-Dirkx, 1975);helix;;;
6;Conformational parameter of beta-structure (Beghin-Dirkx, 1975);sheet;;;
7;Conformational parameter of beta-turn (Beghin-Dirkx, 1975);;;;
8;Average flexibility indices (Bhaskaran-Ponnuswamy, 1988);;1;;?
9;Residue volume (Bigelow, 1967);size;;;
10;"Information value for accessibility; average fraction 35% (Biou et al., 1988)";;;;
11;"Information value for accessibility; average fraction 23% (Biou et al., 1988)";;;;
12;Retention coefficient in TFA (Browne et al., 1982);;;;
13;Retention coefficient in HFBA (Browne et al., 1982);;;;
14;Transfer free energy to surface (Bull-Breese, 1974);;;;
15;Apparent partial specific volume (Bull-Breese, 1974);;;;
16;alpha-NH chemical shifts (Bundi-Wuthrich, 1979);;;;
17;alpha-CH chemical shifts (Bundi-Wuthrich, 1979);;;;
18;Spin-spin coupling constants 3JHalpha-NH (Bundi-Wuthrich, 1979);;;;
19;Normalized frequency of alpha-helix (Burgess et al., 1974);helix;;;
20;Normalized frequency of extended structure (Burgess et al., 1974);;;;
21;Steric parameter (Charton, 1981);;;;
22;Polarizability parameter (Charton-Charton, 1982);polarity;1;;
23;Free energy of solution in water, kcal/mole (Charton-Charton, 1982);;;;
24;The Chou-Fasman parameter of the coil conformation (Charton-Charton, 1983);;;;
25;A parameter defined from the residuals obtained from the best correlation of the Chou-Fasman parameter of beta-sheet (Charton-Charton, 1983);sheet;;;
26;The number of atoms in the side chain labelled 1+1 (Charton-Charton, 1983);;;;
27;The number of atoms in the side chain labelled 2+1 (Charton-Charton, 1983);;;;
28;The number of atoms in the side chain labelled 3+1 (Charton-Charton, 1983);;;;
29;The number of bonds in the longest chain (Charton-Charton, 1983);;;;
30;A parameter of charge transfer capability (Charton-Charton, 1983);;;;
31;A parameter of charge transfer donor capability (Charton-Charton, 1983);;;;
32;Average volume of buried residue (Chothia, 1975);;;;
33;Residue accessible surface area in tripeptide (Chothia, 1976);solvent surface area;;;
34;Residue accessible surface area in folded protein (Chothia, 1976);solvent surface area;;;
35;Proportion of residues 95% buried (Chothia, 1976);;;;
36;Proportion of residues 100% buried (Chothia, 1976);;;;
37;Normalized frequency of beta-turn (Chou-Fasman, 1978a);;;;
38;Normalized frequency of alpha-helix (Chou-Fasman, 1978b);helix;;;
39;Normalized frequency of beta-sheet (Chou-Fasman, 1978b);sheet;;;
40;Normalized frequency of beta-turn (Chou-Fasman, 1978b);;;;
41;Normalized frequency of N-terminal helix (Chou-Fasman, 1978b);helix;;;
42;Normalized frequency of C-terminal helix (Chou-Fasman, 1978b);helix;;;
43;Normalized frequency of N-terminal non helical region (Chou-Fasman, 1978b);helix;;;
44;Normalized frequency of C-terminal non helical region (Chou-Fasman, 1978b);helix;;;
45;Normalized frequency of N-terminal beta-sheet (Chou-Fasman, 1978b);sheet;;;
46;Normalized frequency of C-terminal beta-sheet (Chou-Fasman, 1978b);sheet;;;
47;Normalized frequency of N-terminal non beta region (Chou-Fasman, 1978b);;;;
48;Normalized frequency of C-terminal non beta region (Chou-Fasman, 1978b);;;;
49;Frequency of the 1st residue in turn (Chou-Fasman, 1978b);;;;
50;Frequency of the 2nd residue in turn (Chou-Fasman, 1978b);;;;
51;Frequency of the 3rd residue in turn (Chou-Fasman, 1978b);;;;
52;Frequency of the 4th residue in turn (Chou-Fasman, 1978b);;;;
53;Normalized frequency of the 2nd and 3rd residues in turn (Chou-Fasman, 1978b);;;;
54;Normalized hydrophobicity scales for alpha-proteins (Cid et al., 1992);hydrophobicity;;;
55;Normalized hydrophobicity scales for beta-proteins (Cid et al., 1992);hydrophobicity;;1;
56;Normalized hydrophobicity scales for alpha+beta-proteins (Cid et al., 1992);hydrophobicity;;;
57;Normalized hydrophobicity scales for alpha/beta-proteins (Cid et al., 1992);hydrophobicity;;;
58;Normalized average hydrophobicity scales (Cid et al., 1992);hydrophobicity;;;
59;Partial specific volume (Cohn-Edsall, 1943);size;;1;
60;Normalized frequency of middle helix (Crawford et al., 1973);helix;;;
61;Normalized frequency of beta-sheet (Crawford et al., 1973);sheet;;;
62;Normalized frequency of turn (Crawford et al., 1973);;;;
63;Size (Dawson, 1972);size;;;
64;Amino acid composition (Dayhoff et al., 1978a);;;;
65;Relative mutability (Dayhoff et al., 1978b);;;;
66;Membrane preference for cytochrome b: MPH89 (Degli Esposti et al., 1990);;;;
67;Average membrane preference: AMP07 (Degli Esposti et al., 1990);;;;
68;Consensus normalized hydrophobicity scale (Eisenberg, 1984);hydrophobicity;;;
69;Solvation free energy (Eisenberg-McLachlan, 1986);;;;
70;Atom-based hydrophobic moment (Eisenberg-McLachlan, 1986);hydrophobicity;;;
71;Direction of hydrophobic moment (Eisenberg-McLachlan, 1986);hydrophobicity;;;
72;Molecular weight (Fasman, 1976);;;;
73;Melting point (Fasman, 1976);size;;;
74;Optical rotation (Fasman, 1976);;;;
75;pK-N (Fasman, 1976);;;;
76;pK-C (Fasman, 1976);;;;
77;Hydrophobic parameter pi (Fauchere-Pliska, 1983);hydrophobicity;;;
78;Graph shape index (Fauchere et al., 1988);;;;
79;Smoothed upsilon steric parameter (Fauchere et al., 1988);;;;
80;Normalized van der Waals volume (Fauchere et al., 1988);;;;
81;STERIMOL length of the side chain (Fauchere et al., 1988);;;;
82;STERIMOL minimum width of the side chain (Fauchere et al., 1988);;;;
83;STERIMOL maximum width of the side chain (Fauchere et al., 1988);;;;
84;N.m.r. chemical shift of alpha-carbon (Fauchere et al., 1988);;;;
85;Localized electrical effect (Fauchere et al., 1988);;;;
86;Number of hydrogen bond donors (Fauchere et al., 1988);;;;
87;Number of full nonbonding orbitals (Fauchere et al., 1988);;;;
88;Positive charge (Fauchere et al., 1988);;;;
89;Negative charge (Fauchere et al., 1988);;;;
90;pK-a(RCOOH) (Fauchere et al., 1988);;;;
91;Helix-coil equilibrium constant (Finkelstein-Ptitsyn, 1977);helix;;;
92;Helix initiation parameter at posision i-1 (Finkelstein et al., 1991);helix;;;
93;Helix initiation parameter at posision i,i+1,i+2 (Finkelstein et al., 1991);helix;;;
94;Helix termination parameter at posision j-2,j-1,j (Finkelstein et al., 1991);helix;;;
95;Helix termination parameter at posision j+1 (Finkelstein et al., 1991);helix;;;
96;Partition coefficient (Garel et al., 1973);;;;
97;Alpha-helix indices (Geisow-Roberts, 1980);helix;;;
98;Alpha-helix indices for alpha-proteins (Geisow-Roberts, 1980);helix;;;
99;Alpha-helix indices for beta-proteins (Geisow-Roberts, 1980);helix;;;
100;Alpha-helix indices for alpha/beta-proteins (Geisow-Roberts, 1980);helix;;;
101;Beta-strand indices (Geisow-Roberts, 1980);;;;
102;Beta-strand indices for beta-proteins (Geisow-Roberts, 1980);;;;
103;Beta-strand indices for alpha/beta-proteins (Geisow-Roberts, 1980);;;;
104;Aperiodic indices (Geisow-Roberts, 1980);;;;
105;Aperiodic indices for alpha-proteins (Geisow-Roberts, 1980);;;;
106;Aperiodic indices for beta-proteins (Geisow-Roberts, 1980);;;;
107;Aperiodic indices for alpha/beta-proteins (Geisow-Roberts, 1980);;;;
108;Hydrophobicity factor (Goldsack-Chalifoux, 1973);hydrophobicity;;;
109;Residue volume (Goldsack-Chalifoux, 1973);size;;;
110;Composition (Grantham, 1974);;;;
111;Polarity (Grantham, 1974);polarity;;;
112;Volume (Grantham, 1974);size;;;
113;Partition energy (Guy, 1985);;;;
114;Hydration number (Hopfinger, 1971), Cited by Charton-Charton (1982);;;;
115;Hydrophilicity value (Hopp-Woods, 1981);hydrophobicity;;;
116;Heat capacity (Hutchens, 1970);;;;
117;Absolute entropy (Hutchens, 1970);;;;
118;Entropy of formation (Hutchens, 1970);;;;
119;Normalized relative frequency of alpha-helix (Isogai et al., 1980);helix;;;
120;Normalized relative frequency of extended structure (Isogai et al., 1980);;;;
121;Normalized relative frequency of bend (Isogai et al., 1980);;;;
122;Normalized relative frequency of bend R (Isogai et al., 1980);;;;
123;Normalized relative frequency of bend S (Isogai et al., 1980);;;;
124;Normalized relative frequency of helix end (Isogai et al., 1980);helix;;;
125;Normalized relative frequency of double bend (Isogai et al., 1980);;;;
126;Normalized relative frequency of coil (Isogai et al., 1980);;;;
127;Average accessible surface area (Janin et al., 1978);solvent surface area;;;
128;Percentage of buried residues (Janin et al., 1978);;;;
129;Percentage of exposed residues (Janin et al., 1978);;;;
130;Ratio of buried and accessible molar fractions (Janin, 1979);;;;
131;Transfer free energy (Janin, 1979);;;;
132;Hydrophobicity (Jones, 1975);hydrophobicity;;;
133;pK (-COOH) (Jones, 1975);;;;
134;Relative frequency of occurrence (Jones et al., 1992);;;;
135;Relative mutability (Jones et al., 1992);;;;
136;Amino acid distribution (Jukes et al., 1975);;;;
137;Sequence frequency (Jungck, 1978);;;;
138;Average relative probability of helix (Kanehisa-Tsong, 1980);helix;;;
139;Average relative probability of beta-sheet (Kanehisa-Tsong, 1980);sheet;;;
140;Average relative probability of inner helix (Kanehisa-Tsong, 1980);helix;;;
141;Average relative probability of inner beta-sheet (Kanehisa-Tsong, 1980);sheet;1;;
142;Flexibility parameter for no rigid neighbors (Karplus-Schulz, 1985);;;;
143;Flexibility parameter for one rigid neighbor (Karplus-Schulz, 1985);;;;
144;Flexibility parameter for two rigid neighbors (Karplus-Schulz, 1985);;;;
145;The Kerr-constant increments (Khanarian-Moore, 1980);;;;
146;Net charge (Klein et al., 1984);;;;
147;Side chain interaction parameter (Krigbaum-Rubin, 1971);;;;
148;Side chain interaction parameter (Krigbaum-Komoriya, 1979);;;;
149;Fraction of site occupied by water (Krigbaum-Komoriya, 1979);;;;
150;Side chain volume (Krigbaum-Komoriya, 1979);size;;;
151;Hydropathy index (Kyte-Doolittle, 1982);;;;
152;Transfer free energy, CHP/water (Lawson et al., 1984);;;;
153;Hydrophobic parameter (Levitt, 1976);hydrophobicity;;;
154;Distance between C-alpha and centroid of side chain (Levitt, 1976);;;;
155;Side chain angle theta(AAR) (Levitt, 1976);;;;
156;Side chain torsion angle phi(AAAR) (Levitt, 1976);;;;
157;Radius of gyration of side chain (Levitt, 1976);;;;
158;van der Waals parameter R0 (Levitt, 1976);;;;
159;van der Waals parameter epsilon (Levitt, 1976);;;;
160;Normalized frequency of alpha-helix, with weights (Levitt, 1978);helix;;;
161;Normalized frequency of beta-sheet, with weights (Levitt, 1978);sheet;;;
162;Normalized frequency of reverse turn, with weights (Levitt, 1978);;;;
163;Normalized frequency of alpha-helix, unweighted (Levitt, 1978);helix;;;
164;Normalized frequency of beta-sheet, unweighted (Levitt, 1978);sheet;;;
165;Normalized frequency of reverse turn, unweighted (Levitt, 1978);;;;
166;Frequency of occurrence in beta-bends (Lewis et al., 1971);;;;
167;Conformational preference for all beta-strands (Lifson-Sander, 1979);;;;
168;Conformational preference for parallel beta-strands (Lifson-Sander, 1979);;;;
169;Conformational preference for antiparallel beta-strands (Lifson-Sander, 1979);;;;
170;Average surrounding hydrophobicity (Manavalan-Ponnuswamy, 1978);hydrophobicity;;;
171;Normalized frequency of alpha-helix (Maxfield-Scheraga, 1976);helix;;;
172;Normalized frequency of extended structure (Maxfield-Scheraga, 1976);;;;
173;Normalized frequency of zeta R (Maxfield-Scheraga, 1976);;;;
174;Normalized frequency of left-handed alpha-helix (Maxfield-Scheraga, 1976);helix;;;
175;Normalized frequency of zeta L (Maxfield-Scheraga, 1976);;;;
176;Normalized frequency of alpha region (Maxfield-Scheraga, 1976);;;;
177;Refractivity (McMeekin et al., 1964), Cited by Jones (1975);;;;
178;Retention coefficient in HPLC, pH7.4 (Meek, 1980);;;;
179;Retention coefficient in HPLC, pH2.1 (Meek, 1980);;;;
180;Retention coefficient in NaClO4 (Meek-Rossetti, 1981);;;;
181;Retention coefficient in NaH2PO4 (Meek-Rossetti, 1981);;;;
182;Average reduced distance for C-alpha (Meirovitch et al., 1980);;;;
183;Average reduced distance for side chain (Meirovitch et al., 1980);;;;
184;Average side chain orientation angle (Meirovitch et al., 1980);;;;
185;Effective partition energy (Miyazawa-Jernigan, 1985);;;;
186;Normalized frequency of alpha-helix (Nagano, 1973);helix;;;
187;Normalized frequency of bata-structure (Nagano, 1973);;;;
188;Normalized frequency of coil (Nagano, 1973);;;;
189;AA composition of total proteins (Nakashima et al., 1990);;;;
190;SD of AA composition of total proteins (Nakashima et al., 1990);;;;
191;AA composition of mt-proteins (Nakashima et al., 1990);;;;
192;Normalized composition of mt-proteins (Nakashima et al., 1990);;;;
193;AA composition of mt-proteins from animal (Nakashima et al., 1990);;;;
194;Normalized composition from animal (Nakashima et al., 1990);;;;
195;AA composition of mt-proteins from fungi and plant (Nakashima et al., 1990);;;;
196;Normalized composition from fungi and plant (Nakashima et al., 1990);;;;
197;AA composition of membrane proteins (Nakashima et al., 1990);;;;
198;Normalized composition of membrane proteins (Nakashima et al., 1990);;;;
199;Transmembrane regions of non-mt-proteins (Nakashima et al., 1990);;;;
200;Transmembrane regions of mt-proteins (Nakashima et al., 1990);;;;
201;Ratio of average and computed composition (Nakashima et al., 1990);;;;
202;AA composition of CYT of single-spanning proteins (Nakashima-Nishikawa, 1992);;;;
203;AA composition of CYT2 of single-spanning proteins (Nakashima-Nishikawa, 1992);;;;
204;AA composition of EXT of single-spanning proteins (Nakashima-Nishikawa, 1992);;;;
205;AA composition of EXT2 of single-spanning proteins (Nakashima-Nishikawa, 1992);;;;
206;AA composition of MEM of single-spanning proteins (Nakashima-Nishikawa, 1992);;;;
207;AA composition of CYT of multi-spanning proteins (Nakashima-Nishikawa, 1992);;;;
208;AA composition of EXT of multi-spanning proteins (Nakashima-Nishikawa, 1992);;;;
209;AA composition of MEM of multi-spanning proteins (Nakashima-Nishikawa, 1992);;;;
210;8 A contact number (Nishikawa-Ooi, 1980);;;;
211;14 A contact number (Nishikawa-Ooi, 1986);;1;;
212;Transfer energy, organic solvent/water (Nozaki-Tanford, 1971);;;;
213;Average non-bonded energy per atom (Oobatake-Ooi, 1977);;;;
214;Short and medium range non-bonded energy per atom (Oobatake-Ooi, 1977);;;;
215;Long range non-bonded energy per atom (Oobatake-Ooi, 1977);;;;
216;Average non-bonded energy per residue (Oobatake-Ooi, 1977);;;;
217;Short and medium range non-bonded energy per residue (Oobatake-Ooi, 1977);;;;
218;Optimized beta-structure-coil equilibrium constant (Oobatake et al., 1985);;;;
219;Optimized propensity to form reverse turn (Oobatake et al., 1985);;;;
220;Optimized transfer energy parameter (Oobatake et al., 1985);;;;
221;Optimized average non-bonded energy per atom (Oobatake et al., 1985);;;;
222;Optimized side chain interaction parameter (Oobatake et al., 1985);;;;
223;Normalized frequency of alpha-helix from LG (Palau et al., 1981);helix;;;
224;Normalized frequency of alpha-helix from CF (Palau et al., 1981);helix;;;
225;Normalized frequency of beta-sheet from LG (Palau et al., 1981);sheet;;;
226;Normalized frequency of beta-sheet from CF (Palau et al., 1981);sheet;;;
227;Normalized frequency of turn from LG (Palau et al., 1981);;;;
228;Normalized frequency of turn from CF (Palau et al., 1981);;;;
229;Normalized frequency of alpha-helix in all-alpha class (Palau et al., 1981);helix;;;
230;Normalized frequency of alpha-helix in alpha+beta class (Palau et al., 1981);helix;;;
231;Normalized frequency of alpha-helix in alpha/beta class (Palau et al., 1981);helix;;;
232;Normalized frequency of beta-sheet in all-beta class (Palau et al., 1981);sheet;;;
233;Normalized frequency of beta-sheet in alpha+beta class (Palau et al., 1981);sheet;;;
234;Normalized frequency of beta-sheet in alpha/beta class (Palau et al., 1981);sheet;;;
235;Normalized frequency of turn in all-alpha class (Palau et al., 1981);;;;
236;Normalized frequency of turn in all-beta class (Palau et al., 1981);;;;
237;Normalized frequency of turn in alpha+beta class (Palau et al., 1981);;;;
238;Normalized frequency of turn in alpha/beta class (Palau et al., 1981);;;;
239;HPLC parameter (Parker et al., 1986);;;;
240;Partition coefficient (Pliska et al., 1981);;;;
241;Surrounding hydrophobicity in folded form (Ponnuswamy et al., 1980);hydrophobicity;;;
