"enc_adj";"AUC_mean";"et";"si";"et2"
0;0,775003705156067;"Full alphabet";0,842105263157895;"Full alphabet"
1;0,756761907149917;"Standard encoding (Kosiol, et al., 2004)";0,7;"Standard encoding (Kosiol, et al., 2004)"
2;0,75064892328174;"Standard encoding (Melo and Marti-Renom, 2006)";0,789473684210526;"Standard encoding (Melo and Marti-Renom, 2006)"
3;0,670972840220132;"Encoding";0,721052631578947;"Encoding"
4;0,680452275943478;"Encoding";0,7;"Encoding"
5;0,629498182425459;"Encoding";0,663157894736842;"Encoding"
6;0,734398420634011;"Encoding";0,621052631578947;"Encoding"
7;0,735261261485235;"Encoding";0,721052631578947;"Encoding"
8;0,708303873366105;"Encoding";0,668421052631579;"Encoding"
9;0,608870342822429;"Encoding";0,668421052631579;"Encoding"
10;0,740428196701064;"Encoding";0,742105263157895;"Encoding"
11;0,742612305356765;"Encoding";0,652631578947368;"Encoding"
12;0,687713215458447;"Encoding";0,615789473684211;"Encoding"
13;0,706255867355168;"Encoding";0,752631578947368;"Encoding"
14;0,744519799873751;"Encoding";0,7;"Encoding"
15;0,631719055611278;"Encoding";0,594736842105263;"Encoding"
16;0,705964088225136;"Encoding";0,7;"Encoding"
17;0,743199000114659;"Encoding";0,647368421052632;"Encoding"
18;0,604851239106021;"Encoding";0,5;"Encoding"
19;0,753901198206555;"Encoding";0,678947368421053;"Encoding"
20;0,655267083477602;"Encoding";0,768421052631579;"Encoding"
21;0,652539074543012;"Encoding";0,773684210526316;"Encoding"
22;0,715145579347731;"Encoding";0,694736842105263;"Encoding"
23;0,748237511113806;"Encoding";0,657894736842105;"Encoding"
24;0,713424720710952;"Encoding";0,731578947368421;"Encoding"
25;0,724568181797368;"Encoding";0,531578947368421;"Encoding"
26;0,709317166585135;"Encoding";0,7;"Encoding"
27;0,746577821131327;"Encoding";0,652631578947368;"Encoding"
28;0,665150019527636;"Encoding";0,668421052631579;"Encoding"
29;0,719208987099156;"Encoding";0,763157894736842;"Encoding"
30;0,737856957238355;"Encoding";0,773684210526316;"Encoding"
31;0,690341944042304;"Encoding";0,726315789473684;"Encoding"
32;0,728634596664359;"Encoding";0,710526315789474;"Encoding"
33;0,703058594462401;"Encoding";0,742105263157895;"Encoding"
34;0,64557378516521;"Encoding";0,7;"Encoding"
35;0,752241432235807;"Encoding";0,7;"Encoding"
36;0,648329776165798;"Encoding";0,663157894736842;"Encoding"
37;0,738589259051412;"Encoding";0,721052631578947;"Encoding"
38;0,747203212555803;"Encoding";0,710526315789474;"Encoding"
39;0,719570567314733;"Encoding";0,731578947368421;"Encoding"
40;0,679023790306685;"Encoding";0,705263157894737;"Encoding"
41;0,73642181100171;"Encoding";0,721052631578947;"Encoding"
42;0,743108447951645;"Encoding";0,763157894736842;"Encoding"
43;0,672914900151596;"Encoding";0,678947368421053;"Encoding"
44;0,738902175521825;"Encoding";0,763157894736842;"Encoding"
45;0,647287240269082;"Encoding";0,721052631578947;"Encoding"
46;0,675703056523491;"Encoding";0,768421052631579;"Encoding"
47;0,754648151038594;"Encoding";0,7;"Encoding"
48;0,679251331575861;"Encoding";0,7;"Encoding"
49;0,743425270030084;"Encoding";0,721052631578947;"Encoding"
50;0,7328673253985;"Encoding";0,678947368421053;"Encoding"
51;0,707402171109072;"Encoding";0,736842105263158;"Encoding"
52;0,709775679200201;"Encoding";0,657894736842105;"Encoding"
53;0,641138423951042;"Encoding";0,631578947368421;"Encoding"
54;0,72915128506177;"Encoding";0,731578947368421;"Encoding"
55;0,737196505081493;"Encoding";0,7;"Encoding"
56;0,624645971255763;"Encoding";0,552631578947368;"Encoding"
57;0,654865017336289;"Encoding";0,763157894736842;"Encoding"
58;0,752743149278334;"Encoding";0,668421052631579;"Encoding"
59;0,704123610102855;"Encoding";0,752631578947368;"Encoding"
60;0,685649326726871;"Encoding";0,668421052631579;"Encoding"
61;0,738920123794457;"Encoding";0,689473684210526;"Encoding"
62;0,739469351971216;"Encoding";0,710526315789474;"Encoding"
63;0,722524210869416;"Encoding";0,678947368421053;"Encoding"
64;0,693592961553244;"Encoding";0,678947368421053;"Encoding"
